Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-10 03:01:53,0.08780,12.56641,12.56641,0.00000
2023-05-10 03:01:54,0.09774,15.76953,15.76953,0.00000
2023-05-10 03:01:55,0.09962,15.12500,15.12500,0.00000
2023-05-10 03:01:56,0.08750,14.32422,14.32422,0.00000
2023-05-10 03:01:57,0.09774,15.12500,15.12500,0.00000
2023-05-10 03:01:58,0.10563,16.25000,16.25000,0.00000
2023-05-10 03:01:59,0.09862,15.62109,15.62109,0.00000
2023-05-10 03:02:00,0.10325,15.96875,15.96875,0.00000
2023-05-10 03:02:01,0.10351,16.35156,16.35156,0.00000
2023-05-10 03:02:02,0.11779,18.24219,18.24219,0.00000
2023-05-10 03:02:03,0.10487,15.64453,15.64453,0.00000
2023-05-10 03:02:04,0.10276,16.25000,16.25000,0.00000
2023-05-10 03:02:05,0.10763,16.80078,16.80078,0.00000
2023-05-10 03:02:06,0.11028,17.12109,17.12109,0.00000
2023-05-10 03:02:07,0.09938,15.75391,15.75391,0.00000
2023-05-10 03:02:08,0.09461,15.41797,15.41797,0.00000
2023-05-10 03:02:09,0.11872,18.63281,18.63281,0.00000
2023-05-10 03:02:10,0.09887,15.47656,15.47656,0.00000
2023-05-10 03:02:11,0.09461,15.56641,15.56641,0.00000
2023-05-10 03:02:12,0.09524,15.48047,15.48047,0.00000
2023-05-10 03:02:13,0.11905,18.54688,18.54688,0.00000
2023-05-10 03:02:14,0.09336,15.30078,15.30078,0.00000
2023-05-10 03:02:15,0.08960,14.81250,14.81250,0.00000
2023-05-10 03:02:16,0.11028,17.41406,17.41406,0.00000
2023-05-10 03:02:17,0.10375,16.10547,16.10547,0.00000
2023-05-10 03:02:18,0.08647,13.80859,13.80859,0.00000
2023-05-10 03:02:19,0.09837,15.56250,15.56250,0.00000
2023-05-10 03:02:20,0.10338,16.50781,16.50781,0.00000
2023-05-10 03:02:21,0.09837,15.27734,15.27734,0.00000
2023-05-10 03:02:22,0.08521,14.33984,14.33984,0.00000
2023-05-10 03:02:23,0.10714,16.96484,16.96484,0.00000
2023-05-10 03:02:24,0.10992,17.29297,17.29297,0.00000
2023-05-10 03:02:25,0.09887,15.62500,15.62500,0.00000
2023-05-10 03:02:26,0.09524,15.17188,15.17188,0.00000
2023-05-10 03:02:27,0.11842,18.77344,18.77344,0.00000
2023-05-10 03:02:28,0.09625,16.29297,16.29297,0.00000
2023-05-10 03:02:29,0.09524,15.90234,15.90234,0.00000
2023-05-10 03:02:30,0.09837,16.59766,16.59766,0.00000
2023-05-10 03:02:31,0.11264,17.12891,17.12891,0.00000
2023-05-10 03:02:32,0.09750,15.48828,15.48828,0.00000
2023-05-10 03:02:33,0.09285,15.29297,15.29297,0.00000
2023-05-10 03:02:34,0.10526,16.97266,16.97266,0.00000
2023-05-10 03:02:35,0.09359,15.04297,15.04297,0.00000
2023-05-10 03:02:36,0.09285,14.83203,14.83203,0.00000
2023-05-10 03:02:37,0.09825,15.25391,15.25391,0.00000
2023-05-10 03:02:38,0.08886,13.89063,13.89063,0.00000
2023-05-10 03:02:39,0.10063,15.52344,15.52344,0.00000
2023-05-10 03:02:40,0.08532,14.17578,14.17578,0.00000
2023-05-10 03:02:41,0.11312,17.58203,17.58203,0.00000
2023-05-10 03:02:42,0.10338,16.08984,16.08984,0.00000
2023-05-10 03:02:43,0.09136,14.34375,14.34375,0.00000
2023-05-10 03:02:44,0.09536,15.31250,15.31250,0.00000
2023-05-10 03:02:45,0.10263,16.66406,16.66406,0.00000
2023-05-10 03:02:46,0.09524,15.54688,15.54688,0.00000
