Date,CPU Utilization,CPU Power
2023-05-14 11:45:37,0.00063,0.08182
2023-05-14 11:45:38,0.00000,0.00000
2023-05-14 11:45:39,0.00000,0.00000
2023-05-14 11:45:40,0.00063,0.11476
2023-05-14 11:45:41,0.00000,0.00000
2023-05-14 11:45:42,0.00000,0.00000
2023-05-14 11:45:43,0.00062,0.10835
2023-05-14 11:45:44,0.00000,0.00000
2023-05-14 11:45:45,0.00000,0.00000
2023-05-14 11:45:46,0.00063,0.10242
2023-05-14 11:45:47,0.00000,0.00000
2023-05-14 11:45:48,0.00000,0.00000
2023-05-14 11:45:49,0.00063,0.11438
2023-05-14 11:45:50,0.00000,0.00000
2023-05-14 11:45:51,0.00063,0.10105
2023-05-14 11:45:52,0.00000,0.00000
2023-05-14 11:45:53,0.00063,0.11625
2023-05-14 11:45:54,0.00000,0.00000
2023-05-14 11:45:55,0.00062,0.10937
2023-05-14 11:45:56,0.00000,0.00000
2023-05-14 11:45:57,0.00000,0.00000
2023-05-14 11:45:58,0.00063,0.09366
2023-05-14 11:45:59,0.00000,0.00000
2023-05-14 11:46:00,0.00000,0.00000
2023-05-14 11:46:01,0.00063,0.11199
2023-05-14 11:46:02,0.00000,0.00000
2023-05-14 11:46:03,0.00000,0.00000
2023-05-14 11:46:04,0.00063,0.08929
2023-05-14 11:46:05,0.00000,0.00000
2023-05-14 11:46:06,0.00000,0.00000
2023-05-14 11:46:07,0.00062,0.09830
2023-05-14 11:46:08,0.00000,0.00000
2023-05-14 11:46:09,0.00000,0.00000
2023-05-14 11:46:10,0.00063,0.11288
2023-05-14 11:46:11,0.00000,0.00000
2023-05-14 11:46:12,0.00000,0.00000
2023-05-14 11:46:13,0.00063,0.10173
2023-05-14 11:46:14,0.00000,0.00000
2023-05-14 11:46:15,0.00000,0.00000
2023-05-14 11:46:16,0.00062,0.08727
2023-05-14 11:46:17,0.00000,0.00000
2023-05-14 11:46:18,0.00000,0.00000
2023-05-14 11:46:19,0.00063,0.10073
2023-05-14 11:46:20,0.00000,0.00000
2023-05-14 11:46:21,0.00000,0.00000
2023-05-14 11:46:22,0.00000,0.00000
2023-05-14 11:46:23,0.00063,0.10693
2023-05-14 11:46:24,0.00000,0.00000
2023-05-14 11:46:25,0.00063,0.12287
2023-05-14 11:46:26,0.00000,0.00000
2023-05-14 11:46:27,0.00000,0.00000
2023-05-14 11:46:28,0.00063,0.09334
2023-05-14 11:46:29,0.00000,0.00000
2023-05-14 11:46:30,0.00000,0.00000
2023-05-14 11:46:31,0.00063,0.12025
2023-05-14 11:46:32,0.00063,0.10744
2023-05-14 11:46:33,0.00000,0.00000
2023-05-14 11:46:34,0.00000,0.00000
2023-05-14 11:46:35,0.00063,0.11897
2023-05-14 11:46:36,0.00000,0.00000
2023-05-14 11:46:37,0.00000,0.00000
2023-05-14 11:46:38,0.00063,0.09416
2023-05-14 11:46:39,0.00000,0.00000
2023-05-14 11:46:40,0.00063,0.11447
2023-05-14 11:46:41,0.00000,0.00000
2023-05-14 11:46:42,0.00000,0.00000
2023-05-14 11:46:43,0.00063,0.11163
2023-05-14 11:46:44,0.00000,0.00000
2023-05-14 11:46:45,0.00000,0.00000
2023-05-14 11:46:46,0.00063,0.11214
2023-05-14 11:46:47,0.00000,0.00000
2023-05-14 11:46:48,0.00000,0.00000
2023-05-14 11:46:49,0.00063,0.10290
2023-05-14 11:46:50,0.00000,0.00000
2023-05-14 11:46:51,0.00000,0.00000
2023-05-14 11:46:52,0.00063,0.09662
2023-05-14 11:46:53,0.00000,0.00000
2023-05-14 11:46:54,0.00063,0.09399
2023-05-14 11:46:55,0.00000,0.00000
2023-05-14 11:46:56,0.00000,0.00000
2023-05-14 11:46:57,0.00063,0.10409
2023-05-14 11:46:58,0.00000,0.00000
2023-05-14 11:46:59,0.00000,0.00000
2023-05-14 11:47:00,0.00063,0.10605
2023-05-14 11:47:01,0.00000,0.00000
2023-05-14 11:47:02,0.00000,0.00000
2023-05-14 11:47:03,0.00063,0.10924
2023-05-14 11:47:04,0.00000,0.00000
2023-05-14 11:47:05,0.00063,0.07733
2023-05-14 11:47:06,0.00000,0.00000
2023-05-14 11:47:07,0.00000,0.00000
2023-05-14 11:47:08,0.00063,0.10326
2023-05-14 11:47:09,0.00000,0.00000
2023-05-14 11:47:10,0.00000,0.00000
2023-05-14 11:47:11,0.00063,0.11618
2023-05-14 11:47:12,0.00000,0.00000
2023-05-14 11:47:13,0.00000,0.00000
2023-05-14 11:47:14,0.00063,0.09926
2023-05-14 11:47:15,0.00000,0.00000
2023-05-14 11:47:16,0.00063,0.09944
